1986	Languedoc-Roussillon	4.03
1986	Basse-Normandie	3.63
1986	Lorraine	3.73
1986	Poitou-Charentes	3.11
1986	Nord-Pas-de-Calais	4.23
1986	Ile-de-France	4.74
1986	Centre	3.85
1986	Bretagne	1.48
1986	Bourgogne	6.42
1986	Aquitaine	2.50
1986	Auvergne	4.43
1986	Alsace	5.56
1986	Corse	1.28
1986	Limousin	3.61
1986	Rhône-Alpes	5.58
1986	Pays-de-la-Loire	2.74
1986	Haute-Normandie	6.36
1986	Picardie	6.33
1986	Champagne-Ardenne	6.22
1986	Provence-Alpes-Côte-d'Azur	6.25
1986	Franche-Comté	8.58
1986	Midi-Pyrénées	5.49
1987	Languedoc-Roussillon	5.61
1987	Basse-Normandie	3.44
1987	Lorraine	2.68
1987	Poitou-Charentes	4.59
1987	Nord-Pas-de-Calais	4.00
1987	Ile-de-France	4.2
1987	Centre	2.63
1987	Bretagne	5.05
1987	Bourgogne	4.61
1987	Aquitaine	4.20
1987	Auvergne	5.74
1987	Alsace	5.64
1987	Corse	0.27
1987	Limousin	3.09
1987	Rhône-Alpes	4.75
1987	Pays-de-la-Loire	4.43
1987	Haute-Normandie	5.10
1987	Picardie	5.13
1987	Champagne-Ardenne	3.67
1987	Provence-Alpes-Côte-d'Azur	5.46
1987	Franche-Comté	6.77
1987	Midi-Pyrénées	5.42
1984	Languedoc-Roussillon	8.62
1984	Basse-Normandie	1.45
1984	Lorraine	2.94
1984	Poitou-Charentes	6.04
1984	Nord-Pas-de-Calais	8.39
1984	Ile-de-France	9.06
1984	Centre	7.29
1984	Bretagne	6.64
1984	Bourgogne	12.07
1984	Aquitaine	11.89
1984	Auvergne	8.07
1984	Alsace	8.22
1984	Corse	1.35
1984	Limousin	0.17
1984	Rhône-Alpes	7.47
1984	Pays-de-la-Loire	6.08
1984	Haute-Normandie	3.95
1984	Picardie	6.20
1984	Champagne-Ardenne	3.65
1984	Provence-Alpes-Côte-d'Azur	6.68
1984	Franche-Comté	12.37
1984	Midi-Pyrénées	6.07
1985	Languedoc-Roussillon	6.56
1985	Basse-Normandie	1.27
1985	Lorraine	5.28
1985	Poitou-Charentes	2.55
1985	Nord-Pas-de-Calais	8.68
1985	Ile-de-France	8.11
1985	Centre	5.94
1985	Bretagne	6.49
1985	Bourgogne	11.00
1985	Aquitaine	7.29
1985	Auvergne	5.61
1985	Alsace	7.76
1985	Corse	0.16
1985	Limousin	2.91
1985	Rhône-Alpes	7.43
1985	Pays-de-la-Loire	3.71
1985	Haute-Normandie	9.94
1985	Picardie	6.42
1985	Champagne-Ardenne	2.03
1985	Provence-Alpes-Côte-d'Azur	14.52
1985	Franche-Comté	9.15
1985	Midi-Pyrénées	6.27
1988	Languedoc-Roussillon	8.97
1988	Basse-Normandie	7.19
1988	Lorraine	6.07
1988	Poitou-Charentes	11.16
1988	Nord-Pas-de-Calais	6.8
1988	Ile-de-France	8.05
1988	Centre	4.14
1988	Bretagne	12.20
1988	Bourgogne	10.02
1988	Aquitaine	11.70
1988	Auvergne	9.87
1988	Alsace	7.68
1988	Corse	12.12
1988	Limousin	4.92
1988	Rhône-Alpes	8.72
1988	Pays-de-la-Loire	9.54
1988	Haute-Normandie	8.93
1988	Picardie	12.95
1988	Champagne-Ardenne	5.61
1988	Provence-Alpes-Côte-d'Azur	10.45
1988	Franche-Comté	10.23
1988	Midi-Pyrénées	8.01
1989	Languedoc-Roussillon	9.00
1989	Basse-Normandie	12.02
1989	Lorraine	6.28
1989	Poitou-Charentes	9.93
1989	Nord-Pas-de-Calais	6.14
1989	Ile-de-France	6.72
1989	Centre	4.88
1989	Bretagne	9.48
1989	Bourgogne	7.66
1989	Aquitaine	8.05
1989	Auvergne	4.29
1989	Alsace	7.19
1989	Corse	11.11
1989	Limousin	4.40
1989	Rhône-Alpes	9.13
1989	Pays-de-la-Loire	5.70
1989	Haute-Normandie	10.61
1989	Picardie	12.38
1989	Champagne-Ardenne	6.85
1989	Provence-Alpes-Côte-d'Azur	9.59
1989	Franche-Comté	6.62
1989	Midi-Pyrénées	6.28
1991	Languedoc-Roussillon	3.21
1991	Basse-Normandie	1.29
1991	Lorraine	2.18
1991	Poitou-Charentes	2.91
1991	Nord-Pas-de-Calais	3.83
1991	Ile-de-France	3.51
1991	Centre	0.73
1991	Bretagne	9.44
1991	Bourgogne	4.77
1991	Aquitaine	3.36
1991	Auvergne	2.74
1991	Alsace	3.37
1991	Corse	5.76
1991	Limousin	1.86
1991	Rhône-Alpes	5.03
1991	Pays-de-la-Loire	3.63
1991	Haute-Normandie	4.22
1991	Picardie	3.46
1991	Champagne-Ardenne	1.66
1991	Provence-Alpes-Côte-d'Azur	4.83
1991	Franche-Comté	1.93
1991	Midi-Pyrénées	3.26
1990	Languedoc-Roussillon	2.19
1990	Basse-Normandie	1.52
1990	Lorraine	2.22
1990	Poitou-Charentes	2.27
